ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9003603,HW150809,02/09/2013 09:15:00 PM,052XX S DREXEL AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0233,002,4,41,08A,1183130,1870572,2013,02/10/2018 03:50:01 PM,41.80004862,-87.603934367,"(41.80004862, -87.603934367)"
4960,HR248324,04/02/2009 05:42:00 PM,061XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0313,003,20,42,01A,1182619,1864520,2009,09/19/2022 03:41:05 PM,41.783453292,-87.605996101,"(41.783453292, -87.605996101)"
20636,HV490775,09/25/2012 10:45:00 AM,061XX S WOODLAWN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0314,003,20,42,01A,1185273,1864474,2012,09/19/2022 03:41:05 PM,41.783265047,-87.596267196,"(41.783265047, -87.596267196)"
19545,HS463086,08/15/2010 01:23:00 AM,060XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0313,003,20,42,01A,1182606,1865041,2010,09/19/2022 03:41:05 PM,41.784883265,-87.606027606,"(41.784883265, -87.606027606)"
19892,HT322177,05/31/2011 01:58:00 PM,057XX S LAKE SHORE DR,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,0331,003,5,41,01A,1189729,1867390,2011,09/19/2022 03:41:05 PM,41.791160785,-87.579836586,"(41.791160785, -87.579836586)"
19855,HT272658,04/30/2011 02:44:00 AM,050XX S DREXEL BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2124,002,4,39,01A,1183167,1871770,2011,09/19/2022 03:41:05 PM,41.803335167,-87.603761388,"(41.803335167, -87.603761388)"
6702181,HR116965,01/11/2009 09:10:00 PM,055XX S GREENWOOD AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,2133,002,5,41,04A,1184282,1868589,2009,02/04/2016 06:33:39 AM,41.794580207,-87.59977176,"(41.794580207, -87.59977176)"
6780196,HR195680,03/02/2009 05:30:00 PM,060XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),true,false,0313,003,20,42,08B,1182603,1865142,2009,02/28/2018 03:56:25 PM,41.785160487,-87.606035473,"(41.785160487, -87.606035473)"
6779983,HR195062,02/27/2009 02:30:00 PM,016XX E 50TH PL,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,2132,002,4,39,08B,1187995,1871840,2009,02/28/2018 03:56:25 PM,41.803413431,-87.586052837,"(41.803413431, -87.586052837)"
6772179,HR187612,02/25/2009 11:30:00 AM,050XX S LAKE PARK AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2132,002,4,39,08B,1187358,1871995,2009,02/28/2018 03:56:25 PM,41.803853936,-87.58838406,"(41.803853936, -87.58838406)"
